rank,title,rating,genre,release_date,ranking,director,budget,runtime,cum_worldwide_gross
0,The Shawshank Redemption,,Drama,14 October 1994,9.3,Frank Darabont,25000000,142,58500000
1,The Godfather ,,"Crime; 
Drama",24 March 1972,9.2,Francis Ford Coppola,6000000,175,245066411
2,The Godfather: Part II ,PG,"Crime;Drama",20 December 1974,9.0,Francis Ford Coppola,13000000,202,
3,The Dark Knight ,PG,"Action; Crime; 
Drama",18 July 2008,9.0,Christopher Nolan,185000000,152,1004558444
4,12 Angry Men,PG,Drama,April 1957,8.9,Sidney Lumet,350000,96,
5,Schindler's List ,,,25 December 1993,8.9,Steven Spielberg,22000000,195,221000000
6,The Lord of the Rings: The Return of the King ,,"Action; 
Adventure; Drama",17 December 2003,8.9,Peter Jackson,94000000,201,1119929521
7,Pulp Fiction ,,"Crime; Drama",14 October 1994,8.9,Quentin Tarantino,8000000,154,213928762
8,"Il buono, il brutto, il cattivo ",,,23 December 1966,8.9,Sergio Leone,1200000,161,
9,Fight Club ,R,Drama,15 October 1999,8.8,David Fincher,63000000,139,71000000
10,The Lord of the Rings: The Fellowship of the Ring ,,"Adventure; 
Drama; Fantasy",19 December 2001,8.8,Peter Jackson,93000000,178,871530324
11,Forrest Gump ,PG,"Drama; Romance",6 July 1994,8.8,Robert Zemeckis,55000000,142,677945399
12,Star Wars: Episode V - The Empire Strikes Back ,G,"Action; 
Adventure; 
Fantasy",20 June 1980,8.8,Irvin Kershner,18000000,124,247916602
13,Inception ,PG,"Action; 
Adventure; 
Sci-Fi",16 July 2010,8.8,Christopher Nolan,160000000,148,825532764
14,The Lord of the Rings: The Two Towers ,,"Adventure; 
Drama; 
Fantasy",18 December 2002,8.7,Peter Jackson,94000000,179,926047111
15,One Flew Over the Cuckoo's Nest ,,Drama,19 November 1975,8.7,Milos Forman,4400000,133,
16,Goodfellas ,,"Crime; 
Drama",21 September 1990,8.7,Martin Scorsese,25000000,146,
17,The Matrix ,,"Action; 
Sci-Fi",31 March 1999,8.7,,63000000,136,463517383
18,Shichinin no samurai ,PG,"Adventure; 
Drama",26 April 1954,8.7,Akira Kurosawa,2000000,207,
19,Cidade de Deus ,,"Crime; 
Drama",30 August 2002,8.6,,3300000,130,32059295
